date,cloudcover,day_of_week,label
1990-01-01,73.4,Monday,Weekday
1990-01-02,1.5,Tuesday,Weekday
1990-01-03,14.2,Wednesday,Weekday
1990-01-04,77.6,Thursday,Weekday
1990-01-05,38.7,Friday,Weekday
1990-01-06,58.6,Saturday,Weekend
1990-01-07,39.0,Sunday,Weekend
1990-01-08,99.6,Monday,Weekday
1990-01-09,57.5,Tuesday,Weekday
1990-01-10,98.3,Wednesday,Weekday
1990-01-11,78.3,Thursday,Weekday
1990-01-12,64.3,Friday,Weekday
1990-01-13,34.0,Saturday,Weekend
1990-01-14,72.1,Sunday,Weekend
1990-01-15,100.0,Monday,Weekday
1990-01-16,49.3,Tuesday,Weekday
1990-01-17,42.6,Wednesday,Weekday
1990-01-18,78.6,Thursday,Weekday
1990-01-19,62.9,Friday,Weekday
1990-01-20,92.2,Saturday,Weekend
1990-01-21,94.3,Sunday,Weekend
1990-01-22,92.1,Monday,Weekday
1990-01-23,54.6,Tuesday,Weekday
1990-01-24,99.7,Wednesday,Weekday
1990-01-25,100.0,Thursday,Weekday
1990-01-26,95.6,Friday,Weekday
1990-01-27,42.5,Saturday,Weekend
1990-01-28,77.2,Sunday,Weekend
1990-01-29,100.0,Monday,Weekday
1990-01-30,87.1,Tuesday,Weekday
1990-01-31,21.5,Wednesday,Weekday
1990-02-01,58.8,Thursday,Weekday
1990-02-02,100.0,Friday,Weekday
1990-02-03,100.0,Saturday,Weekend
1990-02-04,99.8,Sunday,Weekend
1990-02-05,49.1,Monday,Weekday
1990-02-06,30.7,Tuesday,Weekday
1990-02-07,61.2,Wednesday,Weekday
1990-02-08,4.9,Thursday,Weekday
1990-02-09,70.5,Friday,Weekday
1990-02-10,85.8,Saturday,Weekend
1990-02-11,38.1,Sunday,Weekend
1990-02-12,57.1,Monday,Weekday
1990-02-13,67.9,Tuesday,Weekday
1990-02-14,97.7,Wednesday,Weekday
1990-02-15,100.0,Thursday,Weekday
1990-02-16,98.9,Friday,Weekday
1990-02-17,21.6,Saturday,Weekend
1990-02-18,37.2,Sunday,Weekend
1990-02-19,69.3,Monday,Weekday
1990-02-20,4.2,Tuesday,Weekday
1990-02-21,4.1,Wednesday,Weekday
1990-02-22,76.0,Thursday,Weekday
1990-02-23,100.0,Friday,Weekday
1990-02-24,96.5,Saturday,Weekend
1990-02-25,73.8,Sunday,Weekend
1990-02-26,0.0,Monday,Weekday
1990-02-27,66.9,Tuesday,Weekday
1990-02-28,29.3,Wednesday,Weekday
1990-03-01,24.8,Thursday,Weekday
1990-03-02,53.6,Friday,Weekday
1990-03-03,85.6,Saturday,Weekend
1990-03-04,9.8,Sunday,Weekend
1990-03-05,68.1,Monday,Weekday
1990-03-06,79.3,Tuesday,Weekday
1990-03-07,0.0,Wednesday,Weekday
1990-03-08,18.6,Thursday,Weekday
1990-03-09,63.9,Friday,Weekday
1990-03-10,97.9,Saturday,Weekend
1990-03-11,97.1,Sunday,Weekend
1990-03-12,85.2,Monday,Weekday
1990-03-13,48.8,Tuesday,Weekday
1990-03-14,63.7,Wednesday,Weekday
1990-03-15,76.1,Thursday,Weekday
1990-03-16,65.8,Friday,Weekday
1990-03-17,99.1,Saturday,Weekend
1990-03-18,61.0,Sunday,Weekend
1990-03-19,80.9,Monday,Weekday
1990-03-20,100.0,Tuesday,Weekday
1990-03-21,41.3,Wednesday,Weekday
1990-03-22,44.8,Thursday,Weekday
1990-03-23,48.0,Friday,Weekday
1990-03-24,90.7,Saturday,Weekend
1990-03-25,59.4,Sunday,Weekend
1990-03-26,15.1,Monday,Weekday
1990-03-27,2.9,Tuesday,Weekday
1990-03-28,33.4,Wednesday,Weekday
1990-03-29,83.6,Thursday,Weekday
1990-03-30,100.0,Friday,Weekday
1990-03-31,100.0,Saturday,Weekend
1990-04-01,100.0,Sunday,Weekend
1990-04-02,100.0,Monday,Weekday
1990-04-03,100.0,Tuesday,Weekday
1990-04-04,99.4,Wednesday,Weekday
1990-04-05,50.0,Thursday,Weekday
1990-04-06,99.1,Friday,Weekday
1990-04-07,72.3,Saturday,Weekend
1990-04-08,31.0,Sunday,Weekend
1990-04-09,18.2,Monday,Weekday
1990-04-10,95.2,Tuesday,Weekday
1990-04-11,67.6,Wednesday,Weekday
1990-04-12,44.2,Thursday,Weekday
1990-04-13,1.4,Friday,Weekday
1990-04-14,49.8,Saturday,Weekend
1990-04-15,82.0,Sunday,Weekend
1990-04-16,19.2,Monday,Weekday
1990-04-17,78.1,Tuesday,Weekday
1990-04-18,4.5,Wednesday,Weekday
1990-04-19,13.7,Thursday,Weekday
1990-04-20,85.1,Friday,Weekday
1990-04-21,89.4,Saturday,Weekend
1990-04-22,7.3,Sunday,Weekend
1990-04-23,19.9,Monday,Weekday
1990-04-24,66.7,Tuesday,Weekday
1990-04-25,75.7,Wednesday,Weekday
1990-04-26,16.2,Thursday,Weekday
1990-04-27,28.9,Friday,Weekday
1990-04-28,19.6,Saturday,Weekend
1990-04-29,88.5,Sunday,Weekend
1990-04-30,99.7,Monday,Weekday
1990-05-01,82.5,Tuesday,Weekday
1990-05-02,88.2,Wednesday,Weekday
1990-05-03,80.6,Thursday,Weekday
1990-05-04,100.0,Friday,Weekday
1990-05-05,94.1,Saturday,Weekend
1990-05-06,79.9,Sunday,Weekend
1990-05-07,63.3,Monday,Weekday
1990-05-08,19.1,Tuesday,Weekday
1990-05-09,76.5,Wednesday,Weekday
1990-05-10,100.0,Thursday,Weekday
1990-05-11,39.2,Friday,Weekday
1990-05-12,62.9,Saturday,Weekend
1990-05-13,99.9,Sunday,Weekend
1990-05-14,46.1,Monday,Weekday
1990-05-15,59.7,Tuesday,Weekday
1990-05-16,99.4,Wednesday,Weekday
1990-05-17,96.2,Thursday,Weekday
1990-05-18,42.1,Friday,Weekday
1990-05-19,38.3,Saturday,Weekend
1990-05-20,89.3,Sunday,Weekend
1990-05-21,100.0,Monday,Weekday
1990-05-22,83.9,Tuesday,Weekday
1990-05-23,66.5,Wednesday,Weekday
1990-05-24,66.4,Thursday,Weekday
1990-05-25,38.1,Friday,Weekday
1990-05-26,98.5,Saturday,Weekend
1990-05-27,52.3,Sunday,Weekend
1990-05-28,68.0,Monday,Weekday
1990-05-29,99.9,Tuesday,Weekday
1990-05-30,51.8,Wednesday,Weekday
1990-05-31,6.7,Thursday,Weekday
1990-06-01,21.4,Friday,Weekday
1990-06-02,42.8,Saturday,Weekend
1990-06-03,92.5,Sunday,Weekend
1990-06-04,85.1,Monday,Weekday
1990-06-05,32.9,Tuesday,Weekday
1990-06-06,48.9,Wednesday,Weekday
1990-06-07,74.6,Thursday,Weekday
1990-06-08,82.2,Friday,Weekday
1990-06-09,96.7,Saturday,Weekend
1990-06-10,68.1,Sunday,Weekend
1990-06-11,77.1,Monday,Weekday
1990-06-12,26.2,Tuesday,Weekday
1990-06-13,60.3,Wednesday,Weekday
1990-06-14,99.3,Thursday,Weekday
1990-06-15,49.2,Friday,Weekday
1990-06-16,43.6,Saturday,Weekend
1990-06-17,46.6,Sunday,Weekend
1990-06-18,70.2,Monday,Weekday
1990-06-19,81.0,Tuesday,Weekday
1990-06-20,62.7,Wednesday,Weekday
1990-06-21,86.7,Thursday,Weekday
1990-06-22,58.3,Friday,Weekday
1990-06-23,72.6,Saturday,Weekend
1990-06-24,39.0,Sunday,Weekend
1990-06-25,47.4,Monday,Weekday
1990-06-26,34.7,Tuesday,Weekday
1990-06-27,71.4,Wednesday,Weekday
1990-06-28,53.9,Thursday,Weekday
1990-06-29,81.6,Friday,Weekday
1990-06-30,62.2,Saturday,Weekend
1990-07-01,88.5,Sunday,Weekend
1990-07-02,65.7,Monday,Weekday
1990-07-03,55.1,Tuesday,Weekday
1990-07-04,52.1,Wednesday,Weekday
1990-07-05,72.6,Thursday,Weekday
1990-07-06,52.2,Friday,Weekday
1990-07-07,39.2,Saturday,Weekend
1990-07-08,73.6,Sunday,Weekend
1990-07-09,89.0,Monday,Weekday
1990-07-10,76.4,Tuesday,Weekday
1990-07-11,84.7,Wednesday,Weekday
1990-07-12,100.0,Thursday,Weekday
1990-07-13,99.5,Friday,Weekday
1990-07-14,99.5,Saturday,Weekend
1990-07-15,73.8,Sunday,Weekend
1990-07-16,59.2,Monday,Weekday
1990-07-17,65.7,Tuesday,Weekday
1990-07-18,14.4,Wednesday,Weekday
1990-07-19,28.9,Thursday,Weekday
1990-07-20,36.8,Friday,Weekday
1990-07-21,91.2,Saturday,Weekend
1990-07-22,83.2,Sunday,Weekend
1990-07-23,87.8,Monday,Weekday
1990-07-24,80.8,Tuesday,Weekday
1990-07-25,18.2,Wednesday,Weekday
1990-07-26,55.7,Thursday,Weekday
1990-07-27,82.4,Friday,Weekday
1990-07-28,91.7,Saturday,Weekend
1990-07-29,76.2,Sunday,Weekend
1990-07-30,67.9,Monday,Weekday
1990-07-31,56.9,Tuesday,Weekday
1990-08-01,29.4,Wednesday,Weekday
1990-08-02,8.3,Thursday,Weekday
1990-08-03,11.5,Friday,Weekday
1990-08-04,70.5,Saturday,Weekend
1990-08-05,99.8,Sunday,Weekend
1990-08-06,99.8,Monday,Weekday
1990-08-07,95.3,Tuesday,Weekday
1990-08-08,72.3,Wednesday,Weekday
1990-08-09,82.9,Thursday,Weekday
1990-08-10,96.7,Friday,Weekday
1990-08-11,90.5,Saturday,Weekend
1990-08-12,23.7,Sunday,Weekend
1990-08-13,34.2,Monday,Weekday
1990-08-14,46.1,Tuesday,Weekday
1990-08-15,25.4,Wednesday,Weekday
1990-08-16,37.2,Thursday,Weekday
1990-08-17,21.6,Friday,Weekday
1990-08-18,19.9,Saturday,Weekend
1990-08-19,92.0,Sunday,Weekend
1990-08-20,100.0,Monday,Weekday
1990-08-21,100.0,Tuesday,Weekday
1990-08-22,98.3,Wednesday,Weekday
1990-08-23,100.0,Thursday,Weekday
1990-08-24,100.0,Friday,Weekday
1990-08-25,81.0,Saturday,Weekend
1990-08-26,45.2,Sunday,Weekend
1990-08-27,28.2,Monday,Weekday
1990-08-28,48.6,Tuesday,Weekday
1990-08-29,80.2,Wednesday,Weekday
1990-08-30,15.7,Thursday,Weekday
1990-08-31,18.4,Friday,Weekday
1990-09-01,41.8,Saturday,Weekend
1990-09-02,45.4,Sunday,Weekend
1990-09-03,30.9,Monday,Weekday
1990-09-04,12.6,Tuesday,Weekday
1990-09-05,81.9,Wednesday,Weekday
1990-09-06,73.5,Thursday,Weekday
1990-09-07,75.0,Friday,Weekday
1990-09-08,10.9,Saturday,Weekend
1990-09-09,60.7,Sunday,Weekend
1990-09-10,79.0,Monday,Weekday
